NiII	1454.842	0.0276	102000000
CoII	1466.211	0.031	37800000
NiII	1467.259	0.0063	29300000
NiII	1467.756	0.0099	23000000
SI	1473.9943	0.0828	182000000
CoII	1480.9546	0.0119	46500000
BrI	1488.459	0.0669	222000000
NiII	1502.148	0.006	39320000
Si26	1526.70698	0.133	1130000000
SeI	1530.457	0.26	528000000
PII	1532.533	0.00303	4770000
SiII*	1533.4316	0.132	1130000000
BrI	1540.661	0.0771	239000000
CIV	1548.2049	0.1899	264200000
CIV	1550.77845	0.09475	262800000
CoII	1552.7624	0.0116	32100000
C3I	1560.292	0.0774	178000000
CI	1560.3092	0.0774	127000000
C3I*	1560.664	0.0581	127000000
CI*	1560.682	0.0581	127000000
C3I*	1560.692	0.0193	127000000
CI*	1560.7089	0.0193	127000000
C3I**	1561.322	0.0116	127000000
CI**	1561.3399	0.0116	127000000
C3I**	1561.35	0.000772	127000000
CI**	1561.3668	0.000772	127000000
C3I**	1561.424	0.0649	127000000
CI**	1561.4378	0.0649	127000000
SiI	1562.002	0.3758	342500000
CoII	1572.6489	0.012	41600000
CoII	1574.5508	0.025	67300000
FeII	1588.6876	0.000148	489000
GeII	1602.4863	0.144	1060000000
ScIII	1603.064	0.0175	45600000
Fe18	1608.45081	0.0577	274000000
ScIII	1610.194	0.0866	446000000
FeII	1611.2005	0.00138	286000000
SiI	1631.17	0.2051	171400000
HgII	1649.947	0.83	100000000
CI*	1656.2672	0.0621	361000000
C3I*	1656.272	0.0621	360000000
CI	1656.9284	0.149	360000000
C3I	1656.932	0.149	360000000
CI**	1657.0081	0.111	361000000
C3I**	1657.012	0.111	360000000
CI*	1657.3792	0.0371	360000000
C3I*	1657.383	0.0371	360000000
CI*	1657.9071	0.0494	360000000
C3I*	1657.916	0.0494	360000000
CI**	1658.1211	0.0371	361000000
C3I**	1658.125	0.0371	360000000
MgI	1668.4288	0.0016	1280000
AlII	1670.7886	1.74	1390000000
MgI	1683.4116	0.00249	1950000
SiI	1693.2939	0.156	121000000
NiII	1703.4119	0.006	500000000
MgI	1707.0606	0.00437	3330000
NiII	1709.6042	0.0324	435000000
NiII	1741.5531	0.0427	500000000
MgI	1747.7937	0.00908	6610000
NiII	1751.9157	0.0277	370000000
NiII	1773.949	0.006221	9890000
PI	1774.9487	0.169	238000000
PI	1782.8291	0.113	238000000
SrII	1783.87	0.00069	100000000
SrII	1793.088	0.0056	100000000
ZrIII	1798.048	0.178	613000000
NiII	1804.473	0.007159	11000000
SI	1807.3113	0.0905	533000000
SiII	1808.01288	0.00208	2380000
MgI	1827.9351	0.0242	16100000
SiI	1845.5205	0.27	176000000
FeI	1851.69	0.0222	55580000
AlIII	1854.71829	0.559	542000000
AlIII	1862.79113	0.278	534000000
FeI	1875.158	0.00874	16590000
RuII	1888.043	0.0293	256000000
FeII	1901.773	7E-05	161000
TiII	1910.6123	0.104	417000000
TiII	1910.9538	0.098	143000000
FeI	1934.5351	0.0111	25500000
FeI	1937.268	0.00945	21610000
CoII	1941.2852	0.034	435000000
CoII	2012.1664	0.0368	345000000
ZnII	2026.13695	0.501	407000000
CoII	2026.4122	0.0125	303000000
MgI	2026.47504	0.113	61200000
CrII	2056.25682	0.103	407000000
CoII	2059.4756	0.00751	278000000
CrII	2062.23594	0.0759	406000000
ZnII	2062.66028	0.246	386000000
CrII	2066.16391	0.0512	417000000
BIII	2066.436	0.238	100000000
BIII	2067.893	0.119	100000000
FeI	2084.785	0.0189	600000000
FeI	2132.69	0.0052	600000000
