# not necessarily q
??    1215.6701 0.416400  6.265E8  1.00 No ID NOTE:DON'T USE TABS AS SEPARATORS
O I   1355.5977 1.16e-6  5.56E3  15.9994  M03g  A&G:7.377
O I   1302.1685 0.048000  5.650e8  M03 g
O I   1039.2304 0.00907  1.87E8   M03 g
O I   1026.4757 8.71e-8  4.58E7   M03 g plus two even weaker
O I   1025.7616 0.0163  1.02E8   M03 g plus two weaker
O I    988.7734 0.0465  2.26E8  M03
O I    988.6549 0.0083  5.66E7  M03
O I    988.5778 0.000553  6.29E6  M03
O I    976.4481 0.003310  8.010e7  M03 gM91
O I    971.7382 0.0116  8.58e7  M03
O I    971.7376 0.00207  1.46e7  M03
O I    971.7371 0.000138 1.63e6  M03
O I    950.8846 1.58e-3 3.876e7  M03 gM91
O I    948.6855 6.31e-3 2.900e7  M03 gM91
O I    937.8405 8.77e-4 1.102e7  M03 gM91
O I    936.6295 3.65e-3 1.704e7  M03 gM91
O I    930.2566 5.37e-4 6.90E6   M03
O I    929.5168 2.29e-3 1.00E7   M03
O I    925.446  3.54E-4 4.60E6   M03
O I    924.950  1.54e-3 1.00E7   M03
O I    922.200  2.45e-4 3.21e6   M03
O I    921.857  1.08e-3 1.00E7   M03
O I    919.917  1.77e-4 2.33e6   M03
O I    919.658  7.92e-4 1.00E7   M03
O I    919.222  1.32e-4 1.74e6   M03
O I    918.044  6.14e-4 1.00E7   M03
O I    916.960  1.01e-4 1.33e6   M03
O I    916.815  4.74e-4 1.00E7   M03 ..and more, but with high Lyman series.
O I*  1304.8576 0.0478  5.650e8  M03g
O I** 1306.0286 0.0478  5.650e8  M03g
O II  834.4655 0.132 2.000E8  VBT
O II  833.3294 0.0886 2.00E8  VBT
O II  832.7572 0.0444 2.00E8  VBT
O III 832.927 0.107 2.000E8   VBT
O III 702.332 0.137 2.000E8   VBT
O IV  787.711 0.110 2.000E8   VBT
O VI  1031.9261 0.13250  4.149e8  M03g
O VI  1037.6167 0.06580  4.076e8  M03g
O VII 21.60169 0.696 3.32E12
O VII 18.62799 0.146 9.35E11
F I   954.8267 0.0817  7.14E8  19.0  A&G:2.926
F I   951.8707 0.0165  7.16E8
NeVIII 780.324 0.050500  1.000e8  20.18 VBT A&G:6.537
NeVIII 770.409 0.103000  1.000e8  VBT
NaI   5891.5833 0.6408 6.157e7 22.989768 M03g A&G:4.759
NaI   5897.5581 0.3201 6.139e7  M03g
NaI   3303.369 0.00920 9.641e6 M03 M91g
NaI   3303.978 0.00460 9.639e6 M03 M91g
NaI   2853.012 6.77e-4 5.54e5  M03
NaI   2852.811 1.35e-3 5.54e5  M03
MgI   2852.96282 1.830000  5.000e8 24.3050  90.0 M03g w:SalumbidesMN06 A&G:6.031; 2852.96310(CHAN68) ;2852.96328
MgI   2026.47504 0.113 6.12e7  24.3050 87   M03;2026.4768
MgI   1827.9351 0.024200  1.610e7  M03
MgI   1747.7937 0.00908   6.61e6   M03
MgI   1707.0606 0.00437   3.330e6  M03
MgI   1683.4116 0.00249   1.95E6   M03 Ak06
MgI   1668.4288 0.00160   1.28e6   M03 Aki
MgII  2796.3542699 0.6155  2.68e8  24.3050 212.0 w:Murphy M03g; 2796.3543 f=.6123(CHAN68) ;;; 2796.353794 
MgII  2803.5314853  0.3058  2.66e8  24.3050 121.0 w:Murphy M03g; 2803.5315 f=.3054(CHAN68) ;;;2803.530983 
MgII  1240.3947 0.000356  1.54e6 M03
MgII  1239.9253 0.000632  1.37e6 M03
MgII  1026.1134 3.92e-4   2.48e6 M03
MgII  1025.9681 7.43e-4   2.35e6 M03
MgX   624.95    0.0410     2.000E8  VBT
MgX   609.79    0.0842     2.000E8  VBT
AlI   3945.1224 0.116 1.48e8  26.981539 M03g  A&G:4.929
AlI   3083.0462 0.177 7.45e7  M03g
AlI   2367.7750 0.106 7.58e7  M03g
AlI   2264.1647 0.0892 7.14e7  M03g
AlII  1670.7886 1.740  1.390e9  26.981539 270 M03g w:Griesmann ;1670.7887 f=1.88(CHAN68)
AlIII 1862.79113 0.278  5.34e8  26.981539 224   M03g w:Griesmann
AlIII 1854.71829 0.559  5.42e8  26.981539 458 M03g w:Griesmann
SiI   2515.0725  0.211  2.22e8 28.0855 M03g A&G:6.000
SiI   1845.5205  0.270  1.76e8  M03
SiI   1693.2939  0.156  1.21e8  M03
SiI   1631.170   0.2051  1.714e8  M91 (M03:no f-value)
SiI   1562.002  0.3758   3.425e8  M91 (M03:no f-value)
SiII  2335.123  4.25E-6  9.61e3  M03g
SiII  1808.01288 0.00208  2.38e6 28.0855 520.0 M03g  w:Griesmann.; 1808.01301(CHAN68);Q: CHAN68
Si26  1526.70698 0.13300  1.13E9  28.0855 50 M03g; 1526.70709(CHAN68)
SiII  1304.3702 0.0863  1.01E9  M03g 	
SiII  1260.4221 1.180   2.95E9  M03g
SiII  1193.2897 0.5820  4.07e9  M03g
SiII  1190.4158 0.2920  4.08E9  M03g	 
SiII  1020.6989 0.0168  6.680e8  M03/M91g
SiII   989.8731 0.171   6.673e8  M03/M91g
SiII* 1533.4316 0.13200  1.13E9  M03g
SiII* 1309.2757 0.0860  1.01E9   M03g
SiII* 1265.0020 0.117  2.95E9  M03g
SiII* 1264.7377 1.050  2.93E9  M03g
SiII* 1197.3938 0.145  4.07e9  M03g
SiII* 1194.5002 0.727  4.08E9  M03g
SiIII 1206.500 1.63000  2.48e9  M03g
SiIV  1393.76018 0.513  8.80e8 28.0855 823 M03g w:Griesmann 
SiIV  1402.77291 0.254  8.62e8 28.0855 361 M03g w:Griesmann
P I   1774.9487 0.169   2.38e8  30.973762 M03g A&G:4.017
P I   1782.8291 0.113   2.38e8  M03g
P II  1532.5330 3.03e-3 4.77e6 M03g 
P II  1301.8743 1.27e-2 4.82e7 M03g
P II  1152.8180 0.245   1.23e9 M03g
P II   963.8005 1.458   4.14E9 M03g
P II   961.0412 0.3489  5.09e9 M03g
P III 1334.8132 0.0282  6.32E7  M03g
P III  997.9996 0.1117  2.220E9  M03g
P III  917.1178 0.404  4.78E9  M03g
P III  913.9683 0.203  4.79E9  M03g
P IV   950.6569 1.490  3.67e9  M03g
P V   1128.0078 0.233 1.22e9  M03g
P V   1117.9774 0.472 1.26e9  M03g
S I   1807.3113 0.0905 5.33e8  32.066 M03g A&G:5.712
S I   1473.9943 0.0828 1.82e8  M03
S I   1295.6531 0.0870 3.46e8  M03
S II  1259.518 0.0166  4.65e7  M03g
S II  1253.805 0.0109  4.62e7  M03g
S II  1250.578 0.00543 4.63e7  M03g
S III 1190.203 0.0237 6.65e7  M03g
S III 1012.495 0.0438 2.81e8  M03g
S IV  1062.664 0.0494 1.69e8  M03g
S VI   944.523 0.215  1.61e9  M03g
S VI   933.378 0.437  1.67e9  M03g
ClI   1347.2396 0.153 6.62e8  35.4527 M03g  A&G:3.719
ArI   1066.6598 0.0675 1.32e8  39.948  M03g A&G:5.004
ArI   1048.2199 0.263 3.18e7 M03g  
CaI   4227.918 1.770   2.200e8  40.078  M03g A&G:4.786
CaI   2276.169 0.0661   2.84e7  M03g
CaII  3934.7750 0.6267  1.444e8  M03g
CaII  3969.5901 0.3116  1.409e8  M03g
ScII  3643.822  0.375  1.61E8  44.96 M03g IP=12.80
ScII  3581.947  0.237  2.13E8  M03g
ScII  3568.715  0.111  2.13E8  M03g
ScII  2563.958  0.0887 2.70E8  M03g
ScIII 1610.194  0.0866 4.46E8  M03g
ScIII 1603.064  0.0175 4.56E7  M03g
TiII  3384.7304 0.358  1.75e8  47.88   396  M03g
TiII  3242.9184 0.232  2.44e8  47.88   541  M03g
TiII  3230.1221 0.0687 2.44e8  47.88   673  M03g
TiII  3073.8633 0.121  2.56e8  47.88   677  M03g
TiII  3067.2379 0.0489 2.500e8 47.88   791  M03g
TiII  1910.9538 0.0980  1.43E8 47.88 -1783  M03g 
TiII  1910.6123 0.104   4.17E8 47.88 -1564 M03g 
TiIII 1298.697 0.0964 6.35e8  M03
TiIII 1295.884 0.0418 1.66e8  M03
V II  2740.525 0.101  3.00E7 50.94 M03g Aki only
V II  2706.021 0.0142 2.13E8  M03g
V II  2683.887 0.109  2.86E8  M03
V II  2141.767 0.00805 3.9E6  M03 Aki only
V II  2138.827 0.082   4.0E7  M03 Aki
V II  1106.571 0.123  2.24E8  M03 Aki
V II  1106.449 0.0239 4.34E7  M03 Aki
V II  1104.332 0.00356 6.5E6  M03 Aki
CrII  2066.16391 0.0512 4.17e8  51.9961 -1421 M03g w:MN,300,131   ;;;0.00012
CrII  2062.23594 0.0759  4.06e8 51.9961 -1280 M03g w:MN,300,131   ;;;0.00016
CrII  2056.25682 0.1030  4.07e8 51.9961 -1061 M03g w:MN,300,131   ;;;0.00011
MnII  2606.45883 0.198  2.72e8  54.93805 869  M03g;bergernut11    ;;;0.00317
MnII  2594.49669 0.280  2.78e8  54.93805 1030 M03g;bergernut11    ;;;0.00231
MnII  2576.87534 0.361  2.82e8  54.93805 1276 M03M03g;bergernut11 ;;;0.00166
MnII  1201.118 0.08809 7.85e8 M03
MnII  1199.391 0.1059 7.85e8 M03
MnII  1197.184 0.1566 7.84e8  M03
MnII  1162.015 0.0102 3.90e7 M03
FeI   3720.9928 0.0411  1.63e7  55.847  M03g A&G:5.954
FeI   3021.5187 0.1040  1.69E8  M03g
FeI   2967.7646 0.0438  1.27E8  M03g
FeI   2719.8329 0.122   1.75E8  M03g
FeI   2523.6083 0.203   3.85E8  M03g
FeI   2501.8858 0.049300  3.85E8  M03g
FeI   2484.0209 0.544  5.000E8  M03g
FeI   2463.3922 0.0532  5.000E8  M03g
FeI   2298.8769 0.0245  1.350E8  M03g
FeI   2167.4534 0.150000  2.74E8  M03
FeI   2132.690  0.0052    6.00E8 Kurucz
FeI   2084.785  0.0189    6.00E8 Kurucz
FeI   1937.268  0.00945   2.161E7 Kurucz
FeI   1934.5351 0.0111    2.55E7  M03 Aki
FeI   1875.158  0.00874   1.659E7 Kurucz
FeI   1851.690  0.0222   5.558E7 M03w Kuruczgf  GF value 0.2 J=4
FeII  2600.17223   0.239  2.70e8 55.847 1410.0   M03g w:Murphy f:ApJ,452,275   ;;;0.0002535
FeII  2586.64937   0.0691   2.72E8 55.847 1540.0 M03g w:Murphy f:ApJ,452,275   ;;;0.0001959
FeII  2382.76411    0.320 3.13E8 55.847 1550.0 M03g                            ;;;0.0000681
FeII  2374.46013   0.0313 3.09E8 55.847 1660.0 M03g; 2374.4604(CHAN68)         ;;;0.0001994
FeII  2367.5895925 2.16e-5  3.07e8 55.847 M03g                                 ;;;0.0001401
FeII  2344.21282   0.114   2.680e8  55.847 1540   M03g  f:Cardelli ApJ,452,275
FeII  2260.77934 0.00244 2.58e8  55.847 1435  M03g 2260.7805
FeII  2234.4472 2.52e-5 2.75e8  55.847 M03g
FeII  2249.8768 0.00182  3.31e8  55.847 1604  M03g 
FeII  1901.7730 7.0e-5 1.61E5   55.847M03
FeII  1611.2005 1.38e-3  2.86e8 55.847 1560 M03g  w:JOPTScAmB 8,2028; q_old 1050;q:berengut10  ;;;0.00004
Fe18  1608.45081 0.0577 2.74e8  55.847 -1030 M03 w:JOPTScAmB 8,2028;q_old -1200 ; q:berengut10 ;;;0.00004
FeII  1588.6876 1.48e-4 4.89e5  M03 
FeII  1260.533 0.024000  1.26E8  M03 
FeII  1144.9379 0.0830  3.520E8  M03
FeII  1143.2260  0.0192  9.81e7  M03
FeII  1142.3656 0.00401  2.56e7  M03
FeII  1133.6654  4.72e-3  3.06e7 M03
FeII  1127.0984 1.12e-3 5.89e6 M03
FeII  1125.4477  0.0156   1.03E8 M03
Fe21  1121.9748 0.0290 1.92e8 M03 fik 10% smaller (J2347 z=2.33)?
FeII  1112.0480  0.00446 2.000E7 M03
FeII  1106.3596 3.94e-4 2.15e6 M03
Fe96  1096.8769 0.032700  2.260E8 M03
FeII  1083.4204 0.002800  2.000E8  M03
FeII  1081.8748 0.012600  2.000E8  M03
FeII  1063.9718 0.00475  3.50e7  M03
Fe63  1063.1764  0.054700  3.23E8  M03
FeII  1062.1517  0.002910  1.72e7  M03
FeII  1055.2617  0.00615  4.61e7  M03
FeIII 1214.562 2.39e-4  1.39e6 M03
FeIII 1122.524 0.05440  3.70e8   M03
CoII  2059.4756 0.00751  2.78e8  58.93320 M03g
CoII  2026.4122 0.0125   3.03e8 M03g
CoII  2012.1664 0.0368  3.45e8 M03g
CoII  1941.2852 0.0340   4.35e8  M03g 
CoII  1574.5508 0.0250   6.73e7  M03
CoII  1572.6489 0.0120   4.16e7  M03
CoII  1552.7624 0.0116   3.21e7  M03
CoII  1480.9546  0.0119  4.65e7   M03 
CoII  1466.2110  0.0310  3.78e7 M03
CoII  1424.7866  0.0109  3.58e7 M03
NiI   2320.7468 0.685  6.94E8   58.69    M03
NiI   2311.669 0.376500  4.700E8   M91(M03-no f)
NiII  1804.473 7.159e-3  1.10E7              M1993g ;;; Added by myself
NiII  1773.949 6.221e-3  9.89E6              M1993g ;;; Added by myself
NiII  1751.9157 0.027700  3.70E8 58.69  -700  M03g
NiII  1741.5531 0.042700  5.00E8 58.69 -1400  M03g
NiII  1709.6042 0.0324    4.35e8 58.69   -20  M03g 
NiII  1703.4119 0.006    5.00e8 M03g ; 
NiII  1502.148 0.00600   3.932E7   M91 prob wrong; f_os (from Berengut2010)
NiII  1467.756 0.00990  2.30E7  M03
NiII  1467.259 0.00630  2.93E7  M03
NiII  1454.842 0.0276  1.02E8   M03
NiII  1393.324 0.02222 3.47E7   M03 
NiII  1370.132 0.0769  4.10e8   fik from 1331+170 M03 was f=0.0769  
NiII  1317.217 0.146   4.205e8  D-Z:astro-ph/0511031  M91 was 0.07786
CuII  1367.9509 0.179 6.23e8 63.546  M03g
CuII  1358.773 0.263  7.20e8  M03g
ZnI   2138.5735 1.4700 7.14e8 65.39 M03 
ZnII  2062.66028 0.246  3.86e8  65.39 1560 M03g  w:MN,300,131  ;;;0.00017
ZnII  2026.13695 0.501  4.07e8  65.39 2470 M03g w:MN,300,131   ;;;0.00014
GaII  1414.402 1.77000   1.97e9   69.723  M03g
GeII  1602.4863 0.144 1.06E9    72.61   M01g abund=115
GeII  1237.0591 1.230 2.68e9    M01
GeII  1164.272  0.280 1.38e9    M01 
! -- Supplementary list --
AsII  1263.770  0.259 3.61E8  74.92 M00 Aki
AsII  1207.449  0.0234 3.56E7 M00 Aki
AsII  1181.538  0.0309 4.92E7 M00 Aki
SeI   1530.457  0.260 5.28e8 78.96  M01  abund 67
SeI   1405.382  0.105 2.54e8  M01
SeI   1353.899  0.0503 1.31e8 M01
SeII  1049.648  0.0823 9.96e8 M01
SeII  1033.556  0.165  1.03e9 M01
SeII  1013.434  0.263  1.14e9 M01
BrI   1540.661  0.0771 2.39E8 79.90 M00
BrI   1488.459  0.0669 2.22E8 M00
KrI   1235.8380 0.204 2.98e8 83.80 M01g abund 47
KrI   1164.8672 0.188 3.09e8    M01g
SrI   4608.617  2.01  2.10e8 87.62 M01g abund 27
SrI   2570.238  0.0166 2.21e8 M01g
SrI   2428.828  0.0468 1.83e8 M01g
SrI   2355.029  0.0479 1.92e7 M01
SrI   2307.974  0.0288 1.20e7 M01
SrII  4216.707  0.334  1.35e8 M01g
SrII  4078.861  0.701  1.50e8 M01g
SrII  1793.088  0.0056   1e8    M01 f Kurucz
SrII  1783.870  0.00069   1e8    M01 f Kurucz
Y II  3112.932  0.00654 3.48E8 88.91 M00
ZrII  3573.4879 0.167   1e8  91.22 M01 f Kurucz abund=6.8
ZrII  3389.2675 0.065   1e8     M01 f Kurucz
ZrII  3358.2263 0.046   1e8     M01 f Kurucz
ZrII  3273.1651 0.050   1e8     M01 f Kurucz
ZrII  3285.6581 0.083   1e8     M01 f Kurucz
ZrII  3209.2401 0.010   1e8     M01 f Kurucz
ZrII  2762.693  0.010   1e8   Kurucz
ZrII  2759.607  0.091   1e8   Kurucz
ZrII  2743.349  0.204   1e8   Kurucz
ZrII  2712.306  0.049   1e8   Kurucz
ZrII  2568.424  0.135   1e8   Kurucz
ZrII  2551.518  0.050   1e8   Kurucz
ZrIII 1798.048  0.178  6.13e8 M01
